name,title,default_crs,bbox_raw
datafinder.stats.govt.nz:layer-104267,Territorial Authority 2020 (generalised),urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>165.97364377550252 -47.62012357870287</ns0:LowerCorner><ns0:UpperCorner>184.6209528860961 -33.95849709963594</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104268,Urban Rural 2020 Clipped (generalised),urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>166.26203258220306 -47.2230467564741</ns0:LowerCorner><ns0:UpperCorner>184.09427442796422 -34.129634647015216</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104269,Urban Rural 2020 (generalised),urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>165.97364377550252 -47.62012357870287</ns0:LowerCorner><ns0:UpperCorner>184.6209528860961 -33.95849709963594</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104270,Statistical Area 2 2020 Clipped (generalised),urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>166.26203258220306 -47.2230467564741</ns0:LowerCorner><ns0:UpperCorner>184.09427442796422 -34.129634647015216</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104271,Statistical Area 2 2020 (generalised),urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>165.97364377550252 -47.62012357870287</ns0:LowerCorner><ns0:UpperCorner>184.6209528860961 -33.95849709963594</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104272,Statistical Area 1 2020 Clipped (generalised),urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>166.26203258220306 -47.2230467564741</ns0:LowerCorner><ns0:UpperCorner>184.09427442796422 -34.129634647015216</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104274,Statistical Area 1 2020 (generalised),urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>165.97364377550252 -47.62012357870287</ns0:LowerCorner><ns0:UpperCorner>184.6209528860961 -33.95849709963594</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104275,Statistical Area 2 Higher Geographies 2020 (generalised),urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>165.97364377550252 -47.62012357870287</ns0:LowerCorner><ns0:UpperCorner>184.6209528860961 -33.95849709963594</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104276,Statistical Area 1 Higher Geographies 2020 (generalised),urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>165.97364377550252 -47.62012357870287</ns0:LowerCorner><ns0:UpperCorner>184.6209528860961 -33.95849709963594</ns0:UpperCorner></ns0:WGS84BoundingBox>"
datafinder.stats.govt.nz:layer-104277,Meshblock Higher Geographies 2020 (generalised),urn:ogc:def:crs:EPSG::2193,"<ns0:WGS84BoundingBox xmlns:ns0=""http://www.opengis.net/ows/1.1""><ns0:LowerCorner>165.97364377550252 -47.62012357870287</ns0:LowerCorner><ns0:UpperCorner>184.6209528860961 -33.95849709963594</ns0:UpperCorner></ns0:WGS84BoundingBox>"
