SA32023_V1_00_usual_residence_address,SA32023_V1_00_NAME_usual_residence_address,SA32023_V1_00_NAME_ASCII_usual_residence_address,SA32023_V1_00_workplace_address,SA32023_V1_00_NAME_workplace_address,SA32023_V1_00_NAME_ASCII_workplace_address,_2018_Work_at_home,_2018_Drive_a_private_car_truck_or_van,_2018_Drive_a_company_car_truck_or_van,_2018_Passenger_in_a_car_truck_van_or_company_bus,_2018_Public_bus,_2018_Train,_2018_Bicycle,_2018_Walk_or_jog,_2018_Ferry,_2018_Other,_2018_Total_stated,_2023_Work_at_home,_2023_Drive_a_private_car_truck_or_van,_2023_Drive_a_company_car_truck_or_van,_2023_Passenger_in_a_car_truck_van_or_company_bus,_2023_Public_bus,_2023_Train,_2023_Bicycle,_2023_Walk_or_jog,_2023_Ferry,_2023_Other,_2023_Total_stated
50410,Rodney East,Rodney East,50910,Hobsonville,Hobsonville,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,6,-999,-999,-999,-999,-999,-999,-999,12
50410,Rodney East,Rodney East,50930,Westgate,Westgate,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9
50410,Rodney East,Rodney East,50960,Henderson,Henderson,-999,24,12,-999,-999,-999,-999,-999,-999,-999,36,-999,24,15,-999,-999,-999,-999,-999,-999,-999,42
50410,Rodney East,Rodney East,51000,Milford,Milford,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12
50410,Rodney East,Rodney East,51010,Takapuna,Takapuna,-999,78,12,6,6,-999,-999,-999,-999,-999,102,-999,66,6,-999,-999,-999,-999,-999,-999,-999,78
50410,Rodney East,Rodney East,51020,Birkdale,Birkdale,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,12
50410,Rodney East,Rodney East,51040,Northcote (Auckland),Northcote (Auckland),-999,21,-999,-999,-999,-999,-999,-999,-999,-999,27,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12
50410,Rodney East,Rodney East,51050,Birkenhead,Birkenhead,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6
50410,Rodney East,Rodney East,51120,Devonport,Devonport,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6
50410,Rodney East,Rodney East,51130,Stanley Point,Stanley Point,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,15,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,15
50410,Rodney East,Rodney East,51150,Auckland City Centre,Auckland City Centre,-999,114,27,6,54,-999,-999,-999,-999,6,213,-999,81,21,-999,51,-999,-999,-999,-999,-999,159
50410,Rodney East,Rodney East,51170,Ponsonby,Ponsonby,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
50410,Rodney East,Rodney East,51180,Freemans Bay,Freemans Bay,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9
50410,Rodney East,Rodney East,51200,Parnell,Parnell,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,18,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,12
50410,Rodney East,Rodney East,51230,Grafton,Grafton,-999,24,-999,-999,-999,-999,-999,-999,-999,-999,30,-999,24,-999,-999,-999,-999,-999,-999,-999,-999,30
50410,Rodney East,Rodney East,51300,Avondale (Auckland),Avondale (Auckland),-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,12
50410,Rodney East,Rodney East,51380,Grey Lynn,Grey Lynn,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,18,-999,9,6,-999,-999,-999,-999,-999,-999,-999,18
50410,Rodney East,Rodney East,51390,Eden Terrace,Eden Terrace,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,18,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12
50410,Rodney East,Rodney East,51400,Remuera,Remuera,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
50410,Rodney East,Rodney East,51420,Newmarket,Newmarket,-999,18,-999,-999,-999,-999,-999,-999,-999,-999,24,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,15
50410,Rodney East,Rodney East,51430,Mount Eden,Mount Eden,-999,18,-999,-999,-999,-999,-999,-999,-999,-999,24,-999,9,9,-999,-999,-999,-999,-999,-999,-999,18
50410,Rodney East,Rodney East,51440,Mount Albert,Mount Albert,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
50410,Rodney East,Rodney East,51460,Epsom,Epsom,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9
50410,Rodney East,Rodney East,51570,Onehunga,Onehunga,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9
50410,Rodney East,Rodney East,51700,Ellerslie,Ellerslie,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,15,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,12
50410,Rodney East,Rodney East,51710,Mount Wellington,Mount Wellington,-999,12,15,-999,-999,-999,-999,-999,-999,-999,27,-999,18,12,-999,-999,-999,-999,-999,-999,-999,33
50410,Rodney East,Rodney East,51750,Penrose,Penrose,-999,27,15,-999,-999,-999,-999,-999,-999,-999,42,-999,15,12,-999,-999,-999,-999,-999,-999,-999,27
50410,Rodney East,Rodney East,51820,East Tamaki,East Tamaki,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9
50410,Rodney East,Rodney East,51830,Ōtāhuhu,Otahuhu,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6
50410,Rodney East,Rodney East,51960,Māngere,Mangere,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,21,-999,18,-999,-999,-999,-999,-999,-999,-999,-999,24
50410,Rodney East,Rodney East,52030,Manukau,Manukau,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6
50410,Rodney East,Rodney East,52060,Wiri,Wiri,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9
50420,Warkworth,Warkworth,50240,Whangārei Centre,Whangarei Centre,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9
50420,Warkworth,Warkworth,50340,Kaipara District South,Kaipara District South,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,12,-999,6,6,-999,-999,-999,-999,-999,-999,-999,15
50420,Warkworth,Warkworth,50350,Mangawhai,Mangawhai,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9
50420,Warkworth,Warkworth,50390,Rodney North,Rodney North,-999,138,27,12,-999,-999,-999,-999,-999,-999,180,-999,174,54,15,-999,-999,-999,-999,-999,-999,246
50420,Warkworth,Warkworth,50410,Rodney East,Rodney East,-999,75,15,9,-999,-999,-999,-999,-999,-999,99,-999,81,18,9,-999,-999,-999,-999,-999,-999,111
50420,Warkworth,Warkworth,50420,Warkworth,Warkworth,318,546,114,48,-999,-999,15,117,-999,-999,1161,648,651,159,42,-999,-999,15,132,-999,9,1659
50420,Warkworth,Warkworth,50430,Mahurangi Peninsula,Mahurangi Peninsula,-999,69,6,-999,-999,-999,-999,-999,-999,-999,87,-999,66,9,-999,-999,-999,-999,-999,-999,-999,81
50420,Warkworth,Warkworth,50440,Hibiscus and Bays Rural,Hibiscus and Bays Rural,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,12
50420,Warkworth,Warkworth,50480,Orewa,Orewa,-999,30,6,-999,-999,-999,-999,-999,-999,-999,36,-999,30,6,-999,-999,-999,-999,-999,-999,-999,39
50420,Warkworth,Warkworth,50500,Helensville,Helensville,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
50420,Warkworth,Warkworth,50520,Silverdale (Auckland),Silverdale (Auckland),-999,27,24,-999,-999,-999,-999,-999,-999,-999,54,-999,42,36,-999,-999,-999,-999,-999,-999,-999,81
50420,Warkworth,Warkworth,50530,Dairy Flat,Dairy Flat,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6
50420,Warkworth,Warkworth,50540,Red Beach,Red Beach,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9
50420,Warkworth,Warkworth,50570,Stanmore Bay,Stanmore Bay,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,15,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,12
50420,Warkworth,Warkworth,50620,Albany,Albany,-999,24,-999,-999,-999,-999,-999,-999,-999,-999,33,-999,15,9,-999,-999,-999,-999,-999,-999,-999,27
50420,Warkworth,Warkworth,50630,Pāremoremo,Paremoremo,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
50420,Warkworth,Warkworth,50750,North Harbour/Rosedale,North Harbour/Rosedale,-999,63,21,6,-999,-999,-999,-999,-999,-999,96,-999,51,39,-999,-999,-999,-999,-999,-999,-999,96
50420,Warkworth,Warkworth,50840,Glenfield,Glenfield,-999,21,6,-999,-999,-999,-999,-999,-999,-999,30,-999,15,9,-999,-999,-999,-999,-999,-999,-999,27
50420,Warkworth,Warkworth,50910,Hobsonville,Hobsonville,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9
